pH,Soil EC (dS/m),Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Moisture (%),Temperature (°C),Crop
6.47,2.0,72.05,75.67,192.94,63.16,22.99,Tomato
6.34,1.8,78.22,65.45,161.98,69.37,25.36,Tomato
6.39,2.28,95.58,73.55,191.73,62.32,21.0,Tomato
6.29,1.74,91.3,65.06,143.96,60.64,26.18,Tomato
6.12,2.28,90.26,79.02,166.39,71.93,20.04,Tomato
6.43,2.27,72.81,61.96,184.54,67.13,23.55,Tomato
6.0,2.41,72.29,56.92,189.89,72.7,23.42,Tomato
6.4,2.34,76.03,64.89,150.4,67.56,24.01,Tomato
6.01,2.0,88.69,73.98,176.01,79.2,24.47,Tomato
6.3,2.08,95.32,65.03,126.8,62.13,27.81,Tomato
6.47,2.42,98.16,63.45,130.99,73.32,25.77,Tomato
6.5,1.6,95.41,60.03,166.89,71.95,21.39,Tomato
6.17,2.35,85.02,65.22,126.86,71.32,22.95,Tomato
6.42,1.77,86.52,50.45,148.11,69.04,24.03,Tomato
6.46,1.86,90.59,57.49,191.48,62.73,20.48,Tomato
6.36,2.15,79.6,57.33,150.1,60.49,22.1,Tomato
6.29,1.78,97.28,54.52,194.97,69.89,21.63,Tomato
6.41,2.17,97.9,51.2,127.29,63.1,22.26,Tomato
6.38,2.33,92.63,64.09,163.38,65.62,26.93,Tomato
6.11,1.72,97.35,66.5,134.81,72.35,25.34,Tomato
6.08,1.78,74.55,50.89,143.12,62.12,26.31,Tomato
6.25,2.07,76.02,54.97,151.55,73.1,26.93,Tomato
6.09,1.82,73.03,56.15,161.85,66.12,23.97,Tomato
6.19,2.31,85.77,59.09,155.98,72.21,25.46,Tomato
6.05,2.34,91.89,75.45,176.3,66.03,22.01,Tomato
6.09,1.89,84.15,55.42,125.13,75.34,23.52,Tomato
6.44,1.76,98.15,75.2,121.02,71.92,20.82,Tomato
6.41,1.71,72.43,54.68,135.86,60.91,27.25,Tomato
6.47,2.22,89.07,56.22,156.0,62.56,22.44,Tomato
6.13,1.58,94.76,67.72,182.97,62.97,20.27,Tomato
6.41,2.07,73.05,53.86,151.59,73.66,22.01,Tomato
6.06,1.54,94.32,72.89,183.19,72.74,20.71,Tomato
6.45,2.04,89.18,78.63,177.66,73.61,20.28,Tomato
6.44,1.72,97.05,74.99,183.64,62.67,21.84,Tomato
6.25,1.62,70.28,56.73,152.68,77.03,21.07,Tomato
6.1,1.94,79.8,63.5,147.27,67.88,23.64,Tomato
6.22,2.47,77.21,64.48,134.02,76.01,22.16,Tomato
6.46,1.77,83.62,60.91,173.68,67.28,27.35,Tomato
6.38,1.77,92.19,50.93,138.36,61.27,25.13,Tomato
6.1,1.93,73.72,68.01,131.5,60.74,26.92,Tomato
6.43,1.64,74.61,77.96,151.65,60.92,25.5,Tomato
6.43,1.87,91.57,55.17,133.31,64.35,20.37,Tomato
6.23,2.35,88.41,69.41,154.05,67.88,27.41,Tomato
6.29,2.04,96.2,51.78,183.57,61.76,22.98,Tomato
6.09,1.83,80.51,78.23,183.03,69.81,23.77,Tomato
6.38,1.83,83.96,53.07,152.78,72.46,27.63,Tomato
6.09,2.09,96.48,53.18,190.06,78.98,22.86,Tomato
6.13,1.83,93.58,61.56,122.98,76.23,25.32,Tomato
6.07,1.83,70.81,71.52,140.42,66.61,22.17,Tomato
6.21,2.11,89.44,52.61,194.32,62.36,27.79,Tomato
6.48,1.56,96.76,76.55,139.11,73.52,26.74,Tomato
6.41,1.65,96.06,72.84,174.68,66.44,21.41,Tomato
6.24,1.68,82.93,76.66,190.55,68.27,22.77,Tomato
6.46,2.04,94.58,65.27,167.32,78.88,24.39,Tomato
6.47,2.24,87.09,57.05,154.88,79.38,24.86,Tomato
6.47,2.46,86.63,58.56,157.83,64.66,24.5,Tomato
6.12,2.12,97.79,75.96,186.21,64.42,24.08,Tomato
6.5,1.53,92.64,52.98,133.87,66.79,23.25,Tomato
6.33,1.67,80.43,77.77,140.27,72.86,24.95,Tomato
6.04,1.9,93.49,78.36,162.3,68.34,22.98,Tomato
6.05,2.41,79.76,67.79,174.1,69.25,20.39,Tomato
6.31,1.9,72.55,66.1,149.8,73.56,24.31,Tomato
6.1,2.24,77.71,60.92,121.89,71.39,20.6,Tomato
6.31,1.58,77.48,71.25,183.76,79.32,25.21,Tomato
6.41,2.47,76.04,70.9,198.27,62.47,23.77,Tomato
6.23,2.15,83.08,60.96,194.66,69.68,24.15,Tomato
6.23,1.95,71.56,50.85,176.76,70.98,24.87,Tomato
6.25,2.12,96.84,65.99,132.57,64.83,26.15,Tomato
6.47,2.3,81.93,74.3,161.23,64.66,21.08,Tomato
6.41,2.15,75.12,76.21,171.17,74.86,20.55,Tomato
6.26,1.52,81.43,74.19,128.04,78.94,21.78,Tomato
6.36,1.87,72.15,61.43,160.39,67.52,20.43,Tomato
6.48,1.71,72.21,50.09,169.27,71.83,27.57,Tomato
6.26,1.65,71.73,57.15,154.46,72.58,22.51,Tomato
6.39,1.95,93.29,52.73,181.24,71.4,20.03,Tomato
6.1,2.13,70.83,67.29,125.43,75.52,26.38,Tomato
6.19,1.64,75.27,73.01,151.09,67.43,20.11,Tomato
6.41,1.84,88.55,71.44,173.28,72.01,26.81,Tomato
6.02,1.68,72.15,70.65,160.35,61.42,27.08,Tomato
6.47,1.56,85.18,56.36,120.75,61.33,25.32,Tomato
6.25,1.9,86.93,63.5,167.2,74.68,23.72,Tomato
6.4,1.61,81.66,71.53,176.27,78.28,26.83,Tomato
6.32,1.64,82.29,58.85,126.89,65.95,25.38,Tomato
6.28,2.23,97.69,57.09,155.49,73.71,26.6,Tomato
6.34,2.24,93.88,64.69,150.05,69.29,21.03,Tomato
6.12,1.91,75.69,67.91,134.13,70.31,26.38,Tomato
6.11,2.03,98.92,73.31,132.21,71.11,27.92,Tomato
6.34,2.26,96.57,76.98,142.97,60.22,23.81,Tomato
6.46,1.67,74.79,76.33,194.36,73.98,21.38,Tomato
6.46,1.66,91.48,77.06,146.98,78.47,23.9,Tomato
6.19,1.85,81.08,64.81,175.46,75.61,21.02,Tomato
6.13,2.02,92.85,65.66,129.99,72.57,26.5,Tomato
6.05,2.06,88.6,67.11,180.67,60.48,24.94,Tomato
6.29,2.48,89.45,63.83,165.39,69.96,26.17,Tomato
6.27,2.37,96.59,53.79,154.37,61.45,27.5,Tomato
6.11,1.51,88.9,67.76,189.64,70.33,21.7,Tomato
6.39,2.49,70.81,69.53,199.06,76.15,21.48,Tomato
6.29,1.68,80.03,59.46,141.13,66.23,25.84,Tomato
6.16,2.21,86.96,74.37,160.39,60.25,24.28,Tomato
6.02,1.78,86.74,64.72,170.01,63.34,25.48,Tomato
6.47,2.39,77.76,65.45,140.09,74.5,24.94,Tomato
6.36,1.55,98.65,50.07,163.55,64.23,23.54,Tomato
6.15,2.36,90.4,79.72,180.18,63.14,26.08,Tomato
6.37,2.42,87.92,54.91,128.49,73.83,23.07,Tomato
6.05,2.31,95.12,64.41,173.58,64.02,27.35,Tomato
6.41,1.58,75.02,62.42,184.09,77.55,21.31,Tomato
6.18,1.64,85.42,78.87,157.64,73.07,20.84,Tomato
6.07,2.02,91.86,79.74,172.6,68.59,22.85,Tomato
6.45,2.19,95.47,76.19,181.93,65.23,24.88,Tomato
6.48,1.72,87.83,55.73,168.63,67.29,27.06,Tomato
6.15,1.84,78.38,77.85,168.23,74.63,22.74,Tomato
6.36,2.33,87.41,76.47,129.64,63.93,26.58,Tomato
6.49,2.12,83.96,76.21,153.37,67.22,25.12,Tomato
6.35,2.03,77.92,70.41,159.3,74.56,24.56,Tomato
6.12,1.78,98.42,60.09,192.52,70.13,27.6,Tomato
6.48,2.14,79.73,75.16,181.81,71.89,22.63,Tomato
6.34,1.52,99.11,53.97,128.85,79.31,24.73,Tomato
6.26,2.0,84.59,59.12,169.2,65.53,21.08,Tomato
6.28,1.82,77.61,67.52,124.75,66.07,24.41,Tomato
6.21,1.82,89.1,53.32,121.67,73.89,25.29,Tomato
6.5,1.79,73.47,66.0,186.47,78.92,24.91,Tomato
6.43,2.22,91.25,66.03,142.48,64.67,21.03,Tomato
6.14,1.94,97.66,71.5,162.04,69.16,21.25,Tomato
6.44,2.49,72.63,78.7,199.94,76.15,20.69,Tomato
6.12,1.91,88.08,57.09,196.24,68.19,23.4,Tomato
6.47,1.72,83.84,54.37,129.62,60.63,22.64,Tomato
6.03,2.43,74.84,75.68,197.76,77.69,23.09,Tomato
6.44,2.0,89.02,58.5,167.35,60.73,27.55,Tomato
6.43,2.43,95.04,66.9,145.3,62.02,24.02,Tomato
6.33,2.11,77.14,67.59,150.39,64.67,27.8,Tomato
6.28,2.16,79.57,53.99,138.95,64.9,21.57,Tomato
6.02,1.77,83.84,64.57,186.43,69.37,27.25,Tomato
6.33,2.11,74.43,59.15,144.83,77.52,25.39,Tomato
6.43,1.89,88.6,58.41,158.26,77.33,22.52,Tomato
6.07,2.1,87.95,61.67,132.03,78.52,21.62,Tomato
6.22,1.81,76.21,64.0,192.38,63.27,20.44,Tomato
6.4,2.11,91.46,70.0,177.19,63.39,22.62,Tomato
6.34,1.77,88.53,63.13,198.92,76.8,20.64,Tomato
6.33,1.76,92.54,74.55,183.68,62.78,21.13,Tomato
6.35,2.43,71.24,53.26,146.2,74.71,26.52,Tomato
6.47,1.86,73.64,63.8,165.77,71.46,20.22,Tomato
6.04,2.35,75.47,79.65,151.62,68.54,21.23,Tomato
6.32,1.8,93.97,69.9,163.72,71.41,25.92,Tomato
6.44,2.23,94.71,64.08,166.45,63.53,24.15,Tomato
6.33,2.38,98.81,56.75,189.68,77.02,22.19,Tomato
6.14,1.75,93.9,52.01,190.74,65.73,20.24,Tomato
6.42,2.38,82.63,77.86,160.44,68.67,26.99,Tomato
6.16,1.69,89.44,60.26,164.85,71.85,21.25,Tomato
6.47,1.95,97.13,50.04,194.46,61.16,23.3,Tomato
6.49,2.41,97.42,55.25,162.14,74.68,22.25,Tomato
6.19,2.24,99.15,55.73,150.78,68.72,21.32,Tomato
6.35,2.44,71.23,74.18,127.04,75.89,26.52,Tomato
6.1,2.21,84.61,51.31,179.02,68.83,27.69,Tomato
6.09,1.52,71.7,58.81,185.67,78.33,22.83,Tomato
6.49,2.0,93.08,59.4,136.38,76.28,26.1,Tomato
6.06,2.12,71.1,55.65,126.63,70.16,21.15,Tomato
6.21,1.88,79.12,51.98,180.51,76.49,25.79,Tomato
6.07,2.38,87.76,67.39,147.37,72.83,21.69,Tomato
6.11,2.32,97.02,59.21,125.65,62.95,26.8,Tomato
6.24,2.33,78.6,52.7,159.91,62.17,22.43,Tomato
6.49,2.0,97.48,62.09,120.19,72.4,20.76,Tomato
6.48,2.47,80.79,62.44,190.05,79.06,25.36,Tomato
6.1,2.45,79.99,76.41,131.45,67.47,20.97,Tomato
6.17,1.71,89.25,69.8,197.36,69.94,21.85,Tomato
6.28,1.88,97.68,64.92,157.82,61.17,24.36,Tomato
6.17,2.28,73.44,76.75,132.81,63.67,25.47,Tomato
6.34,1.53,81.34,61.26,187.26,74.88,20.66,Tomato
6.06,2.34,81.07,60.71,197.51,61.02,20.25,Tomato
6.36,1.87,98.98,52.82,185.44,78.81,27.57,Tomato
6.5,1.69,97.15,73.84,192.71,65.93,27.21,Tomato
6.02,1.81,76.82,65.83,120.9,71.9,26.17,Tomato
6.14,2.09,82.7,55.74,135.67,76.08,25.72,Tomato
6.3,2.36,74.92,66.79,195.85,77.52,26.38,Tomato
6.3,2.14,92.18,59.32,167.8,73.01,22.5,Tomato
6.44,1.94,92.5,57.08,143.47,78.01,24.3,Tomato
6.38,1.55,77.26,62.32,121.57,70.9,27.92,Tomato
6.01,2.29,98.82,70.75,156.4,75.18,22.27,Tomato
6.37,2.37,86.58,52.78,198.42,64.74,24.09,Tomato
6.31,1.85,91.95,65.46,170.26,67.5,22.02,Tomato
6.21,2.18,99.15,67.12,158.16,75.93,24.88,Tomato
6.38,1.84,99.45,52.85,162.09,74.87,21.9,Tomato
6.08,2.5,99.48,76.05,143.41,67.66,25.93,Tomato
6.37,1.99,99.8,79.03,196.23,75.34,20.3,Tomato
6.02,2.13,88.32,78.5,163.33,61.71,26.23,Tomato
6.17,2.35,97.84,71.73,145.22,76.58,20.36,Tomato
6.2,1.89,87.41,65.71,192.51,73.0,26.98,Tomato
6.39,1.87,99.19,70.4,164.94,74.75,23.13,Tomato
6.01,1.85,77.11,52.76,133.06,71.44,26.35,Tomato
6.01,1.59,96.6,66.94,169.63,71.61,26.69,Tomato
6.13,2.31,99.42,67.55,172.99,77.78,21.08,Tomato
6.04,1.57,79.47,66.19,189.67,66.02,23.31,Tomato
6.03,2.29,72.92,65.73,192.35,78.87,22.59,Tomato
6.26,2.07,97.19,69.81,199.43,75.16,27.14,Tomato
6.15,2.19,84.02,69.29,159.98,74.74,20.5,Tomato
6.36,2.45,79.73,71.69,142.02,79.48,25.04,Tomato
6.37,2.02,90.18,74.47,138.6,79.73,25.57,Tomato
6.09,2.06,95.99,75.03,144.66,72.57,22.31,Tomato
6.14,2.48,80.83,56.65,197.35,61.56,20.67,Tomato
6.05,2.1,77.07,51.58,199.95,65.99,26.13,Tomato
6.34,1.89,96.19,52.95,130.46,75.76,23.28,Tomato
6.02,2.15,83.61,56.42,180.0,72.58,25.32,Tomato
6.23,1.94,97.65,66.34,181.83,60.87,24.44,Tomato
6.43,1.57,87.71,75.34,168.83,69.05,23.4,Tomato
6.17,2.31,86.69,75.53,135.83,78.84,23.26,Tomato
6.35,2.2,79.56,55.61,180.85,67.37,26.04,Tomato
6.1,1.61,90.86,73.14,129.96,67.91,27.18,Tomato
6.29,1.52,87.05,63.93,168.02,69.96,27.15,Tomato
6.1,2.38,84.66,51.46,183.64,73.74,23.53,Tomato
6.48,2.37,75.06,59.75,154.93,66.81,21.68,Tomato
6.46,2.28,72.61,64.13,159.52,77.8,20.27,Tomato
6.04,2.05,94.94,64.58,176.8,74.88,27.08,Tomato
6.18,2.32,85.66,51.85,156.41,66.14,22.63,Tomato
6.09,2.07,86.27,67.66,146.67,68.36,21.2,Tomato
6.11,2.34,90.36,66.6,131.49,62.87,25.64,Tomato
6.1,2.44,76.89,50.51,172.19,68.49,27.93,Tomato
6.22,2.15,81.72,68.48,174.46,71.71,23.65,Tomato
6.1,2.33,85.25,54.95,169.27,75.48,20.5,Tomato
6.31,1.73,79.1,61.88,166.13,67.57,27.15,Tomato
6.44,2.27,83.95,62.24,140.82,69.69,26.44,Tomato
6.12,1.87,77.95,56.46,169.87,71.4,21.87,Tomato
6.22,1.91,80.92,73.03,194.07,78.35,21.94,Tomato
6.08,1.81,72.97,66.99,129.61,69.62,26.14,Tomato
6.31,2.27,93.08,75.77,182.41,75.78,23.48,Tomato
6.44,2.05,82.92,75.52,142.15,65.27,23.75,Tomato
6.18,1.91,85.69,51.77,186.38,79.63,25.94,Tomato
6.05,2.26,87.02,57.6,171.03,74.53,25.07,Tomato
6.2,2.32,74.87,51.6,191.24,65.13,27.28,Tomato
6.45,1.8,91.88,71.32,164.53,66.96,26.55,Tomato
6.05,1.77,97.86,76.85,155.22,67.81,20.52,Tomato
6.13,1.63,78.58,60.24,181.13,64.94,27.83,Tomato
6.3,2.22,85.76,74.97,188.42,69.81,21.04,Tomato
6.32,2.46,71.33,65.16,159.43,79.25,21.64,Tomato
6.04,2.2,85.03,58.01,130.29,74.68,25.79,Tomato
6.32,1.93,76.95,78.64,170.43,72.7,20.56,Tomato
6.25,2.48,87.77,58.32,175.83,77.72,22.14,Tomato
6.37,1.58,85.77,50.21,136.14,79.89,21.44,Tomato
6.37,2.03,88.27,77.44,144.67,65.07,20.24,Tomato
6.35,2.03,95.71,50.28,196.26,77.67,21.08,Tomato
6.33,2.05,70.94,72.98,184.51,73.82,22.49,Tomato
6.4,2.25,91.64,51.78,147.64,68.42,23.57,Tomato
6.3,2.15,92.8,71.86,198.36,71.88,21.64,Tomato
6.28,1.79,74.65,68.47,143.86,72.2,21.18,Tomato
6.45,2.07,74.43,74.96,162.19,67.3,26.12,Tomato
6.15,2.36,91.42,65.35,149.32,64.63,20.61,Tomato
6.32,1.55,89.4,60.37,138.68,75.37,24.66,Tomato
6.23,2.18,85.54,78.35,121.07,70.73,23.21,Tomato
6.21,1.92,70.32,62.55,122.85,67.17,24.04,Tomato
6.23,1.9,98.33,74.04,120.01,77.5,24.0,Tomato
6.2,1.59,96.55,73.86,133.25,65.17,26.35,Tomato
6.38,1.78,83.43,69.68,145.15,66.91,27.03,Tomato
6.43,2.02,79.14,79.05,195.62,73.13,25.99,Tomato
6.28,2.29,79.96,75.37,134.04,76.76,25.31,Tomato
6.44,1.95,88.6,67.51,149.82,76.21,27.9,Tomato
6.33,2.36,71.19,60.72,140.85,66.43,24.7,Tomato
6.47,1.59,99.18,79.96,199.1,63.64,22.5,Tomato
6.5,2.4,99.25,56.68,173.8,70.91,27.35,Tomato
6.04,2.15,90.27,60.41,147.59,79.29,24.44,Tomato
6.23,2.13,70.32,66.38,170.17,70.9,27.06,Tomato
6.25,2.02,71.83,75.56,166.25,73.96,22.23,Tomato
6.04,2.05,99.86,68.34,187.18,68.46,22.86,Tomato
6.13,2.34,89.71,63.82,191.2,75.64,22.38,Tomato
6.21,2.12,72.85,53.59,176.26,74.45,27.47,Tomato
6.22,2.46,89.92,64.84,176.77,64.2,25.29,Tomato
6.4,2.21,95.21,55.64,141.77,62.31,23.39,Tomato
6.15,2.28,81.75,71.44,142.62,61.48,21.15,Tomato
6.46,2.12,96.15,62.46,175.42,72.54,20.96,Tomato
6.22,1.93,89.52,58.84,170.06,77.35,22.44,Tomato
6.13,2.47,96.77,63.78,150.34,71.46,26.98,Tomato
6.11,2.12,70.08,78.4,186.52,65.75,21.75,Tomato
6.21,1.81,93.28,56.13,123.89,73.48,27.02,Tomato
6.35,1.95,90.93,55.05,134.87,65.68,22.36,Tomato
6.44,1.65,73.7,74.01,125.05,70.2,25.36,Tomato
6.01,2.32,85.92,70.54,160.9,74.16,27.29,Tomato
6.41,2.26,86.14,65.97,144.24,77.55,27.48,Tomato
6.19,1.53,76.91,63.71,141.84,77.46,23.4,Tomato
6.37,1.51,91.92,74.47,172.21,79.91,21.87,Tomato
6.49,2.39,91.24,79.27,180.72,74.72,25.74,Tomato
6.13,1.64,75.82,75.32,196.82,69.57,25.12,Tomato
6.38,1.87,85.46,67.15,152.19,69.09,25.22,Tomato
6.14,1.99,98.32,72.87,127.21,69.42,27.78,Tomato
6.09,1.52,98.51,64.39,194.02,76.48,25.94,Tomato
6.28,2.38,72.19,62.11,157.76,70.4,24.27,Tomato
6.42,1.7,88.15,75.43,190.67,66.67,22.47,Tomato
6.17,2.11,73.77,76.19,169.24,78.35,26.81,Tomato
6.27,2.04,98.61,58.46,163.64,60.81,26.4,Tomato
6.28,1.83,70.84,57.98,163.28,71.55,21.08,Tomato
6.3,2.47,87.98,50.32,193.89,60.1,25.36,Tomato
6.28,1.69,96.92,52.41,151.04,74.56,21.16,Tomato
6.2,2.4,91.18,65.99,186.02,75.34,26.18,Tomato
6.43,2.29,80.13,53.18,173.13,75.47,26.43,Tomato
6.1,1.57,72.66,70.31,125.81,68.88,25.73,Tomato
6.29,1.6,80.35,57.57,168.72,64.76,23.76,Tomato
6.39,1.58,98.28,70.26,151.06,69.41,24.6,Tomato
6.24,1.72,77.45,55.43,138.01,66.96,26.39,Tomato
6.13,2.5,96.03,62.27,168.39,65.12,26.85,Tomato
6.29,1.71,88.38,68.46,120.97,77.24,27.53,Tomato
6.37,1.95,92.46,53.06,124.82,62.85,27.2,Tomato
6.29,1.83,89.83,61.77,194.13,64.68,24.32,Tomato
6.49,2.4,91.65,79.66,187.63,68.71,23.6,Tomato
6.07,2.0,72.61,58.06,139.99,60.31,21.24,Tomato
6.48,1.88,91.04,54.55,143.5,71.07,22.38,Tomato
6.13,1.77,95.37,75.74,198.02,77.76,21.82,Tomato
6.05,1.84,72.97,58.86,182.56,79.0,27.11,Tomato
6.34,2.15,90.03,56.85,183.08,69.15,22.72,Tomato
6.15,2.4,76.52,54.3,143.91,73.2,22.11,Tomato
6.27,1.51,70.47,57.94,193.41,66.3,23.97,Tomato
6.29,2.27,74.71,68.23,152.29,67.55,24.23,Tomato
6.1,2.34,91.14,53.18,168.81,66.39,24.82,Tomato
6.45,1.78,72.43,77.44,170.94,73.25,22.66,Tomato
6.03,1.75,73.21,54.93,143.55,71.24,23.3,Tomato
6.11,1.84,86.71,73.43,121.55,78.24,23.73,Tomato
6.07,2.39,84.29,77.81,170.65,60.99,24.55,Tomato
6.33,2.46,79.16,56.91,171.57,61.73,27.33,Tomato
6.09,2.47,94.23,54.95,196.58,69.88,27.7,Tomato
6.18,1.61,70.06,54.1,190.32,75.86,20.85,Tomato
6.31,1.87,96.27,58.9,196.44,75.06,25.2,Tomato
6.41,2.49,77.16,59.04,126.25,68.98,24.83,Tomato
6.15,2.04,84.18,64.4,130.15,71.24,25.01,Tomato
6.49,1.53,87.13,74.77,198.54,71.07,25.07,Tomato
6.1,2.21,84.08,69.7,187.68,72.96,25.02,Tomato
6.02,1.68,71.53,79.88,155.17,78.27,21.36,Tomato
6.09,1.92,97.8,61.6,144.73,60.38,24.0,Tomato
6.01,2.27,82.87,76.8,158.53,78.41,22.02,Tomato
6.08,1.93,72.75,61.15,130.19,76.75,23.28,Tomato
6.05,1.88,71.79,56.35,163.76,75.46,24.35,Tomato
6.45,1.52,75.6,76.48,140.66,76.74,26.83,Tomato
6.15,2.49,79.94,72.73,165.09,79.11,23.61,Tomato
6.26,2.39,86.09,64.53,197.48,69.17,23.65,Tomato
6.06,1.78,72.04,51.77,196.61,62.4,21.8,Tomato
6.13,1.81,89.16,57.12,184.05,61.68,27.87,Tomato
6.49,2.08,94.61,63.14,188.96,64.83,25.85,Tomato
6.15,2.39,83.76,51.35,155.2,62.6,24.01,Tomato
6.43,1.85,87.77,74.03,138.71,69.31,25.9,Tomato
6.36,2.11,93.1,62.49,174.79,68.84,20.19,Tomato
6.37,1.84,85.2,53.0,160.97,67.12,24.9,Tomato
6.44,2.38,76.45,64.92,133.09,75.73,25.86,Tomato
6.21,1.94,95.95,57.97,175.91,78.72,27.92,Tomato
6.5,2.3,76.28,56.9,180.28,79.55,20.66,Tomato
6.29,1.9,77.97,56.41,128.14,76.75,22.22,Tomato
6.08,1.69,70.57,59.89,179.82,67.14,27.05,Tomato
6.27,2.46,96.48,76.43,131.77,60.01,24.13,Tomato
6.39,1.94,92.28,58.05,120.25,70.02,20.76,Tomato
6.04,2.5,87.51,51.56,135.05,79.61,27.89,Tomato
6.41,2.42,94.84,78.8,130.61,62.61,24.23,Tomato
6.23,2.21,74.47,63.9,171.05,64.15,22.9,Tomato
6.29,2.29,70.71,79.41,198.64,64.04,25.03,Tomato
6.3,1.68,91.6,79.69,188.51,77.4,23.28,Tomato
6.29,1.91,77.1,62.32,143.79,78.24,21.42,Tomato
6.28,2.02,89.04,69.12,134.55,74.99,22.63,Tomato
6.14,2.26,83.5,68.07,165.46,73.92,24.73,Tomato
6.24,2.36,92.82,63.55,166.45,61.75,21.79,Tomato
6.03,2.27,76.06,56.05,170.81,69.53,20.97,Tomato
6.4,2.02,87.53,51.04,134.93,64.98,24.76,Tomato
6.49,2.34,98.17,58.31,178.13,78.55,21.0,Tomato
6.35,2.22,70.31,57.06,132.01,69.54,20.55,Tomato
6.45,2.32,90.79,62.05,186.81,64.9,27.56,Tomato
6.14,1.55,98.41,57.06,173.15,69.76,27.03,Tomato
6.44,1.91,92.11,78.12,169.62,75.53,24.52,Tomato
6.47,2.37,92.93,57.6,132.88,79.92,24.56,Tomato
6.33,2.45,74.99,61.12,164.49,68.58,25.05,Tomato
6.03,2.29,74.88,53.88,170.34,75.85,21.17,Tomato
6.02,1.83,95.24,59.44,143.36,76.8,23.31,Tomato
6.12,2.21,93.26,55.49,182.56,63.85,22.01,Tomato
6.27,2.4,98.01,55.63,145.89,76.97,24.7,Tomato
6.13,1.61,85.58,79.9,168.67,67.03,25.72,Tomato
6.43,1.53,72.36,54.48,174.58,78.13,22.58,Tomato
6.05,2.43,82.47,65.57,135.91,72.65,27.42,Tomato
6.31,1.67,70.66,70.55,158.11,60.98,24.72,Tomato
6.08,1.7,77.84,56.86,152.0,61.71,24.48,Tomato
6.12,2.27,82.3,61.6,121.3,77.97,20.03,Tomato
6.14,2.08,95.6,52.43,181.63,74.89,27.16,Tomato
6.05,2.03,82.17,69.76,174.96,66.57,26.55,Tomato
6.43,1.8,81.32,53.41,132.96,66.75,21.34,Tomato
6.11,2.34,80.57,60.05,164.45,71.14,22.44,Tomato
6.14,1.66,93.81,56.61,134.66,65.29,20.63,Tomato
6.04,2.27,75.28,63.51,182.43,71.12,26.21,Tomato
6.38,1.79,81.47,63.94,129.9,69.75,23.3,Tomato
6.12,1.87,89.33,57.88,180.01,72.1,20.22,Tomato
6.2,2.22,97.96,57.55,123.49,67.09,27.88,Tomato
6.22,2.37,74.5,68.04,131.23,73.55,25.39,Tomato
6.42,2.18,89.09,72.54,140.94,72.28,27.18,Tomato
6.45,1.81,94.39,65.78,131.37,77.72,27.61,Tomato
6.36,2.16,79.51,58.88,185.58,69.19,22.44,Tomato
6.38,1.74,90.62,70.85,131.94,77.32,23.59,Tomato
6.34,2.07,86.47,55.55,139.95,66.93,27.44,Tomato
6.43,1.9,74.21,72.16,154.9,65.25,24.99,Tomato
6.36,2.4,90.22,61.94,146.09,62.74,26.59,Tomato
6.46,2.48,84.55,79.24,153.35,76.58,26.8,Tomato
6.45,1.85,84.14,69.52,195.3,73.11,27.08,Tomato
6.08,1.56,72.73,76.05,128.6,60.44,24.29,Tomato
6.21,1.93,74.77,70.72,123.47,62.05,23.84,Tomato
6.12,1.57,77.48,50.42,198.63,67.87,20.37,Tomato
6.5,1.84,96.79,56.98,131.72,60.49,23.24,Tomato
6.42,2.45,86.05,70.1,140.51,63.7,21.86,Tomato
6.37,2.44,97.46,53.59,198.74,72.1,25.35,Tomato
6.24,2.24,89.82,56.35,120.1,66.01,25.75,Tomato
6.49,1.93,76.55,50.94,138.86,61.55,24.81,Tomato
6.35,1.91,83.89,54.02,127.51,67.88,21.01,Tomato
6.08,2.36,92.47,68.12,141.42,70.77,21.83,Tomato
6.14,2.48,72.43,79.45,159.13,71.24,22.31,Tomato
6.15,2.17,70.6,59.4,186.91,74.79,20.62,Tomato
6.27,2.48,73.26,54.98,126.44,71.6,20.36,Tomato
6.15,2.49,89.92,75.72,171.31,70.84,26.32,Tomato
6.31,1.71,99.17,54.5,121.06,74.36,23.14,Tomato
6.27,2.21,93.41,51.53,130.08,68.6,23.04,Tomato
6.45,2.14,94.69,71.79,162.23,77.38,20.64,Tomato
6.22,1.68,83.11,78.52,187.6,71.27,20.31,Tomato
6.44,2.2,94.19,52.73,177.27,65.99,25.94,Tomato
6.29,2.03,90.7,65.87,191.78,76.84,25.24,Tomato
6.1,2.11,90.27,76.61,179.69,73.08,20.67,Tomato
6.35,2.36,96.35,50.78,166.24,76.41,26.96,Tomato
6.07,2.32,85.22,70.49,124.02,71.31,24.24,Tomato
6.45,2.12,76.47,60.31,137.23,62.74,25.24,Tomato
6.33,1.62,95.08,52.18,180.53,65.57,27.94,Tomato
6.03,1.84,93.53,67.82,186.97,75.93,26.38,Tomato
6.04,2.29,77.9,74.02,129.01,77.79,23.63,Tomato
6.36,2.16,81.16,63.94,140.06,63.79,22.12,Tomato
6.39,2.15,83.44,62.36,142.68,70.98,26.53,Tomato
6.04,2.39,88.69,55.73,175.68,79.92,20.06,Tomato
6.04,1.74,86.79,51.71,196.28,64.23,20.45,Tomato
6.25,2.11,88.02,63.72,195.03,61.46,21.53,Tomato
6.08,1.64,74.39,72.04,191.87,60.61,23.03,Tomato
